プロパティ,タグ名称,型,値,表示順,TagID
ImageWidth,画像の幅,string,TRUE,,0x0100
ImageLength,画像の高さ,string,TRUE,,0x0101
BitsPerSample,画像のビットの深さ,string,TRUE,,0x0102
Compression,圧縮の種類,string,TRUE,,0x0103
PhotometricInterpretation,画素構成,string,TRUE,,0x0106
ImageDescription,画像の説明,string,TRUE,,0x010E
Make,画像入力機器のメーカ名,string,TRUE,3,0x010F
Model,画像入力機器のモデル名,string,TRUE,4,0x0110
StripOffsets,ストリップのバイトオフセット,string,TRUE,,0x0111
Orientation,画像方向,string,TRUE,13,0x0112
SamplesPerPixel,コンポーネント数,string,TRUE,,0x0115
RowsPerStrip,1ストリップあたりの行の数,string,TRUE,,0x0116
StripByteCounts,ストリップの総バイト数,string,TRUE,,0x0117
XResolution,画像の幅の解像度,string,TRUE,,0x011A
YResolution,画像の高さの解像度,string,TRUE,,0x011B
PlanarConfiguration,画像データの並び,string,TRUE,,0x011C
ResolutionUnit,画像の幅と高さの解像度の単位,string,TRUE,,0x0128
TransferFunction,再生階調カーブ特性,string,TRUE,,0x012D
Software,ソフトウェア,string,TRUE,,0x0131
DateTimeE,ファイル変更日時,string,TRUE,,0x0132
Artist,アーティスト,string,TRUE,,0x013B
WhitePoint,参照白色点の色度座標値,string,TRUE,,0x013E
PrimaryChromaticities,原色の色度座標値,string,TRUE,,0x013F
JPEGInterchangeFormat,JPEGのSOIへのオフセット,string,TRUE,,0x0201
JPEGInterchangeFormatLength,JPEGデータのバイト数,string,TRUE,,0x0202
YCbCrCoefficients,色変換マトリクス係数,string,TRUE,,0x0211
YCbCrSubSampling,YCCの画素構成(Cの間引き率),string,TRUE,,0x0212
YCbCrPositioning,YCCの画素構成(YとCの位置),string,TRUE,,0x0213
ReferenceBlackWhite,参照黒色点値と参照白色点値,string,TRUE,,0x0214
Copyright,著作権情報,string,TRUE,,0x8298
Exif_IFD_Pointer,Exifタグ,string,TRUE,,0x8769
GPSInfoIFDPointer,GPSタグ,string,TRUE,,0x8825
ExposureTime,露出時間,string,TRUE,,0x829A
FNumber,Fナンバー,string,TRUE,10,0x829D
ExposureProgram,露出プログラム,string,TRUE,15,0x8822
SpectralSensitivity,スペクトル感度,string,TRUE,,0x8824
PhotographicSensitivity,撮影感度,string,TRUE,12,0x8827
OECF,光電変換関数,string,TRUE,,0x8828
SensitivityType,感度種別,string,FALSE,,0x8830
StandardOutputSensitivity,標準出力感度,string,FALSE,,0x8831
RecommendedExposureIndex,推奨露光指数,string,FALSE,,0x8832
ISOSpeed,ISOスピード,string,FALSE,,0x8833
ISOSpeedLatitudeyyy,ISOスピードラチチュードyyy,string,FALSE,,0x8834
ISOSpeedLatitudezzz,ISOスピードラチチュードzzz,string,FALSE,,0x8835
ExifVersion,Exifバージョン,string,TRUE,26,0x9000
DateTimeOriginal,原画像データの生成日時,string,TRUE,1,0x9003
DateTimeDigitized,デジタルデータの作成日時,string,TRUE,,0x9004
OffsetTime,時差(DsteTime),string,TRUE,,0X9010
OffsetTimeOriginal,DateTimeOriginalの時差データ,string,TRUE,,0X9011
OffsetTimeDigitized,DateTimeDigitizedの時差データ,string,TRUE,,0X9012
ComponentsConfiguration,各コンポーネントの意味,string,TRUE,,0x9101
CompressedBitsPerPixel,画像圧縮モード,string,TRUE,,0x9102
ShutterSpeedValue,シャッタースピード(APEX EV値),string,TRUE,,0x9201
ApertureValue,絞り値,string,TRUE,,0x9202
BrightnessValue,輝度値,string,TRUE,,0x9203
ExposureBiasValue,露光補正値,string,TRUE,11,0x9204
MaxApertureValue,レンズ最小Ｆ値,string,TRUE,,0x9205
SubjectDistance,被写体距離,string,TRUE,,0x9206
MeteringMode,測光方式,string,TRUE,16,0x9207
LightSource,光源,string,TRUE,,0x9208
Flash,フラッシュ,string,TRUE,14,0x9209
FocalLength,レンズ焦点距離,string,TRUE,5,0x920A
SubjectArea,被写体領域,string,FALSE,,0x9214
MakerNote,メーカノート,string,TRUE,,0x927C
UserComment,ユーザコメント,string,TRUE,,0x9286
